# Which server produced each published leaderboard cell.
# HUST-BCIML EEG-decoding benchmark. Author: Siyang Li <lsyyoungll@gmail.com>, 2026.
#
# The benchmark is bit-reproducible on a given machine but NOT across machines.
# Measured spread on a single seed reaches 2.08 accuracy points.
#
# It is not the GPU. Every machine here runs a different NVIDIA driver, yet
# NoAlign-EEGNet — a full GPU training run, and the only configuration that skips
# Euclidean Alignment — is bit-identical everywhere, while every aligned
# configuration differs. EA whitens with a covariance inverse square root: a LAPACK
# eigendecomposition, on the CPU, whose last bits training then amplifies. All four
# machines run the same Python 3.8.13 / torch 1.11.0 / numpy 1.22.3 stack, so the
# package versions are not the variable either. The BLAS underneath them is:
#
#   machine  BLAS                                CPU
#   10022    Intel MKL (conda)                   Xeon Gold 6278
#   20022    Intel MKL (conda)                   Xeon Platinum 8176
#   7002     reference cblas/blas (micromamba)   Xeon Gold 6230
#   60022    reference cblas/blas (micromamba)   Xeon Platinum 8375C
#
# 10022 and 20022 are bit-identical to each other and are exactly the two linked
# against MKL. 7002 and 60022 share a BLAS build but sit on different CPU
# microarchitectures, and a reference build picks kernels per CPU; each is its own
# regime.
#
# A cell must therefore be re-measured on the machine that produced its published
# value, or the old-vs-new delta mixes the code change with a machine change.
#
# confidence: exact    = surviving evidence reproduces the published value, either an
#                        ordinary 3-seed run tree or a verdict file (tuned_<dataset>.json)
#                        from tune_networks.py (backbone learning rates) or
#                        tune_algorithm.py (per-method knobs), which records the
#                        selected configuration with its 3-seed mean and std
#             inferred = no surviving evidence; assigned from the preset pattern
#
# Which of the two kinds of evidence a cell has is not a bookkeeping detail: it decides
# how the cell must be re-measured. A run tree publishes the preset's defaults, so the
# preset re-runs it. A verdict file publishes whatever the grid search selected, so only
# re-running that selection reproduces what the number means. Re-running the preset
# instead reports a delta that mixes a code change with a configuration change. The
# evidence column below names the file, so the kind is always recoverable.
#
# Every row is currently `exact`. The three that were `inferred` — CSDA-EEGNet on
# BNCI2014001, MDMAML and MVCNet on BNCI2015001 — were not gaps at all: their numbers
# live in verdict files, which the resolver read only under hustbciml_results_nettune
# and only for the four learning-rate-tuned backbones. Two of the three had been
# assigned to the wrong machine as a result, so their re-measurement was scheduled on a
# different BLAS family than produced them. Reading every tuned_<dataset>.json on every
# reachable box resolved all three and 14 further cells that had no entry.
#
# The corrected 18-row Network table was imported only after the complete five-seed,
# literal nested-LOSO campaign passed the validated campaign certificate.
#
# algorithm	dataset	origin	confidence	basis
MSDT	BNCI2014002	7002	exact	3-seed mean reproduces the published value
MSDT	BNCI2015001	7002	exact	3-seed mean reproduces the published value
MVCNet	BNCI2014001	60022	exact	3-seed mean reproduces the published value
MVCNet	BNCI2014002	7002	exact	3-seed mean reproduces the published value
MVCNet	BNCI2015001	10022	exact	3-seed mean and std reproduce in hustbciml_results_qual/mvcnet/tuned_<ds>.json
NoAlign-EEGNet	BNCI2014001	10022	exact	3-seed mean reproduces the published value
Noise-EEGNet	BNCI2014001	10022	exact	3-seed mean reproduces the published value
Noise-EEGNet	BNCI2014002	10022	exact	3-seed mean reproduces the published value
Noise-EEGNet	BNCI2015001	10022	exact	3-seed mean reproduces the published value
PAT	BNCI2014001	60022	exact	3-seed mean reproduces the published value
PAT	BNCI2014002	60022	exact	3-seed mean reproduces the published value
PAT	BNCI2015001	60022	exact	3-seed mean reproduces the published value
PL	BNCI2014001	60022	exact	3-seed mean reproduces the published value
PL	BNCI2014002	7002	exact	3-seed mean reproduces the published value
PL	BNCI2015001	7002	exact	3-seed mean reproduces the published value
RA-EEGNet	BNCI2014001	60022	exact	3-seed mean reproduces the published value
RA-EEGNet	BNCI2014002	7002	exact	3-seed mean reproduces the published value
RA-EEGNet	BNCI2015001	7002	exact	3-seed mean reproduces the published value
Riemann-MDM	BNCI2014001	20022	exact	71.6821 in eegdec_results; deterministic, so seed1 is the 3-seed mean
Riemann-MDM	BNCI2014002	7002	exact	3-seed mean reproduces the published value
Riemann-MDM	BNCI2015001	7002	exact	3-seed mean reproduces the published value
SAFE	BNCI2014001	60022	exact	3-seed mean reproduces the published value
SAFE	BNCI2014002	7002	exact	3-seed mean reproduces the published value
SAFE	BNCI2015001	7002	exact	3-seed mean reproduces the published value
SAR	BNCI2014001	60022	exact	3-seed mean reproduces the published value
SAR	BNCI2014002	7002	exact	3-seed mean reproduces the published value
SAR	BNCI2015001	7002	exact	3-seed mean reproduces the published value
SHOT	BNCI2014001	60022	exact	3-seed mean reproduces the published value
SHOT	BNCI2014002	7002	exact	3-seed mean reproduces the published value
SHOT	BNCI2015001	7002	exact	3-seed mean reproduces the published value
Scale-EEGNet	BNCI2014001	10022	exact	3-seed mean reproduces the published value
Scale-EEGNet	BNCI2014002	10022	exact	3-seed mean reproduces the published value
Scale-EEGNet	BNCI2015001	10022	exact	3-seed mean reproduces the published value
T-TIME	BNCI2014001	60022	exact	3-seed mean reproduces the published value
T-TIME	BNCI2014002	7002	exact	3-seed mean reproduces the published value
T-TIME	BNCI2015001	7002	exact	3-seed mean reproduces the published value
Tent	BNCI2014001	60022	exact	3-seed mean reproduces the published value
Tent	BNCI2014002	7002	exact	3-seed mean reproduces the published value
Tent	BNCI2015001	10022	exact	3-seed mean and std reproduce in hustbciml_results_qual/strat/tuned_<ds>.json
#
# The Ensemble Learning table (decentralized-heterogeneous, --base hetero3) had no entry
# here until its three-learner re-measurement: the combiner cells were the one published
# family whose machine was not written down. All 45 come from one artifact on 7002, so the
# whole table is internally consistent and a future re-measurement has a machine to match.
# Centralized Training is not repeated below; the ensemble table shares that row, and its
# number, with the transfer table above.
#
Dawid-Skene	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
Dawid-Skene	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
Dawid-Skene	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
EBCC	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
EBCC	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
EBCC	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
SML	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
SML	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
SML	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
SML-OVR	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
SML-OVR	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
SML-OVR	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
PM	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
PM	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
PM	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
MACE	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
MACE	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
MACE	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
LAA	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
LAA	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
LAA	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
LA	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
LA	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
LA	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
StackingNet	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
StackingNet	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
StackingNet	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
Wawa	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
Wawa	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
Wawa	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
Majority voting	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
Majority voting	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
Majority voting	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
GLAD	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
GLAD	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
GLAD	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
ZenCrowd	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
ZenCrowd	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
ZenCrowd	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
M-MSR	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
M-MSR	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
M-MSR	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
single-source	BNCI2014001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014001_hetero3_EA-EEGNet.json
single-source	BNCI2014002	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2014002_hetero3_EA-EEGNet.json
single-source	BNCI2015001	7002	exact	3-seed mean and std from hustbciml_v132_hetero3/decentralized_BNCI2015001_hetero3_EA-EEGNet.json
EA-EEGNet-Nested	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-EEGNet-Nested	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-EEGNet-Nested	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-ShallowFBCSPNet-AT	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-ShallowFBCSPNet-AT	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-ShallowFBCSPNet-AT	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-Deep4Net-AT	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-Deep4Net-AT	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-Deep4Net-AT	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-EEGConformer	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-EEGConformer	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-EEGConformer	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-DBConformer	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-DBConformer	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-DBConformer	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
CSP-Net	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
CSP-Net	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
CSP-Net	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-TIEEEGNet	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-TIEEEGNet	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-TIEEEGNet	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-KDFNet	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-KDFNet	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-KDFNet	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-ADFCNN-Transpose-AT	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-ADFCNN-Transpose-AT	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-ADFCNN-Transpose-AT	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-CTNet	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-CTNet	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-CTNet	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-MSCFormer	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-MSCFormer	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-MSCFormer	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-MSVTNet	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-MSVTNet	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-MSVTNet	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-TMSANet	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-TMSANet	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-TMSANet	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-EEGWaveNet-Release-AT	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-EEGWaveNet-Release-AT	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-EEGWaveNet-Release-AT	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-SlimSeiz	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-SlimSeiz	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-SlimSeiz	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-FBMSNet-8-32-AT	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-FBMSNet-8-32-AT	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-FBMSNet-8-32-AT	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-EEGNeX	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-EEGNeX	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-EEGNeX	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-EEGDeformer	BNCI2014001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-EEGDeformer	BNCI2014002	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
EA-EEGDeformer	BNCI2015001	localhost.localdomain	exact	5-seed literal nested LOSO; validated_network_campaign.json
